epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,56029.4,0.92046,0.38164,1.00609,0.97416,0.94588,0.97795,0.72808,0.85598,0.57833,0.94852,0.00725027,0.00725027,0.00725027
112,56461,0.91818,0.37875,1.00559,0.97432,0.94582,0.97802,0.72835,0.85591,0.57738,0.94853,0.00722528,0.00722528,0.00722528
113,56913.3,0.92452,0.38059,1.00683,0.97438,0.94575,0.97808,0.72848,0.85583,0.57529,0.94851,0.00720028,0.00720028,0.00720028
114,57344.7,0.92369,0.38291,1.00757,0.97424,0.9458,0.97805,0.72852,0.85583,0.57293,0.94853,0.00717528,0.00717528,0.00717528
115,57796.9,0.91919,0.38121,1.00601,0.97422,0.94608,0.9781,0.72858,0.85572,0.57063,0.9485,0.00715029,0.00715029,0.00715029
116,58228.6,0.91656,0.37854,1.00529,0.97415,0.94606,0.97814,0.72862,0.85566,0.56874,0.94848,0.00712529,0.00712529,0.00712529
117,58660,0.91915,0.37981,1.0049,0.97426,0.94623,0.9782,0.72873,0.85566,0.56743,0.94849,0.00710029,0.00710029,0.00710029
118,59091.6,0.91654,0.37807,1.00567,0.97387,0.94675,0.97818,0.72886,0.85572,0.56642,0.94848,0.00707529,0.00707529,0.00707529
119,59531.7,0.91663,0.37725,1.00504,0.97395,0.9467,0.97819,0.72896,0.85558,0.56367,0.94847,0.0070503,0.0070503,0.0070503
120,59964.4,0.91653,0.3775,1.00446,0.97401,0.94672,0.97828,0.72902,0.85551,0.56304,0.94843,0.0070253,0.0070253,0.0070253
121,60396.1,0.91532,0.37804,1.00458,0.97387,0.94682,0.97832,0.72909,0.85552,0.5622,0.94846,0.0070003,0.0070003,0.0070003
122,60827.8,0.9128,0.37545,1.00366,0.97381,0.94681,0.97834,0.72912,0.85543,0.56317,0.94842,0.0069753,0.0069753,0.0069753
123,61258.8,0.91229,0.37609,1.00498,0.97459,0.94617,0.97834,0.72914,0.85537,0.56404,0.94842,0.00695031,0.00695031,0.00695031
124,61690.2,0.91207,0.37543,1.00203,0.97422,0.94647,0.97836,0.72932,0.85526,0.56195,0.94838,0.00692531,0.00692531,0.00692531
125,62125.9,0.91396,0.37617,1.00265,0.97429,0.9464,0.97842,0.7295,0.85516,0.56107,0.94834,0.00690031,0.00690031,0.00690031
126,62557.4,0.91484,0.37747,1.00373,0.97432,0.94632,0.97842,0.72957,0.85497,0.5602,0.9483,0.00687531,0.00687531,0.00687531
127,63086.7,0.91229,0.37585,1.0022,0.97414,0.94632,0.97842,0.72978,0.85501,0.55937,0.94832,0.00685032,0.00685032,0.00685032
128,63518.7,0.90864,0.37461,1.00135,0.97417,0.94645,0.97843,0.72988,0.85481,0.55857,0.94832,0.00682532,0.00682532,0.00682532
129,63960,0.90904,0.37599,1.00034,0.97435,0.94634,0.97835,0.73001,0.8548,0.55758,0.94832,0.00680032,0.00680032,0.00680032
130,64392,0.90635,0.37182,1.00103,0.97423,0.94634,0.97835,0.73008,0.85468,0.55646,0.94829,0.00677532,0.00677532,0.00677532
131,64823.7,0.90908,0.37272,1.00115,0.9742,0.94655,0.97842,0.73018,0.85455,0.5552,0.94827,0.00675033,0.00675033,0.00675033
132,65263.9,0.90746,0.3731,1.00137,0.97416,0.94661,0.97839,0.73023,0.85448,0.55366,0.94824,0.00672533,0.00672533,0.00672533
133,458.813,0.91248,0.37401,1.00185,0.97431,0.94664,0.97847,0.73019,0.8544,0.55368,0.94825,0.00670033,0.00670033,0.00670033
134,893.759,0.91454,0.37796,1.00488,0.97426,0.94655,0.97847,0.73031,0.85428,0.55341,0.94817,0.00667533,0.00667533,0.00667533
135,1327.21,0.91617,0.37716,1.0068,0.97414,0.94675,0.97848,0.73041,0.85424,0.553,0.94814,0.00665034,0.00665034,0.00665034
136,1760.7,0.91832,0.37811,1.0054,0.97411,0.94687,0.97849,0.73036,0.85417,0.55269,0.94815,0.00662534,0.00662534,0.00662534
137,2202.05,0.918,0.37825,1.00356,0.97399,0.94698,0.9785,0.73026,0.85422,0.55269,0.94818,0.00660034,0.00660034,0.00660034
138,3890.01,0.9174,0.37654,1.00685,0.97412,0.94689,0.97851,0.73034,0.85411,0.55292,0.94809,0.00657534,0.00657534,0.00657534
139,4323.75,0.91545,0.37607,1.00391,0.97423,0.94686,0.97852,0.73044,0.8542,0.55315,0.94812,0.00655035,0.00655035,0.00655035
140,4761.19,0.9199,0.37919,1.00433,0.97435,0.94699,0.97856,0.73046,0.85413,0.55298,0.94811,0.00652535,0.00652535,0.00652535
141,5195.29,0.91318,0.37555,1.00291,0.97427,0.9471,0.97852,0.73059,0.85411,0.5526,0.94812,0.00650035,0.00650035,0.00650035
142,5630.36,0.91094,0.37528,1.00162,0.97438,0.94702,0.97858,0.73064,0.85405,0.55256,0.94811,0.00647535,0.00647535,0.00647535
143,6071.2,0.91112,0.37544,1.00392,0.9745,0.94708,0.97861,0.73067,0.85402,0.5517,0.9481,0.00645035,0.00645035,0.00645035
144,6505.35,0.91137,0.37429,1.00338,0.97436,0.94705,0.97859,0.73071,0.85397,0.55149,0.94813,0.00642536,0.00642536,0.00642536
145,7086.52,0.91132,0.37448,1.00419,0.97425,0.94719,0.97862,0.73081,0.85394,0.55124,0.94813,0.00640036,0.00640036,0.00640036
146,7527.21,0.91044,0.37485,1.002,0.97434,0.94725,0.97865,0.7307,0.85387,0.55152,0.94813,0.00637536,0.00637536,0.00637536
147,7960.56,0.90695,0.37249,1.00142,0.97426,0.94723,0.97864,0.73075,0.85381,0.55222,0.9481,0.00635037,0.00635037,0.00635037
148,8394.06,0.91145,0.37446,1.00267,0.97431,0.94708,0.97857,0.73069,0.85384,0.55249,0.94805,0.00632537,0.00632537,0.00632537
149,8944.87,0.91075,0.37442,1.00061,0.97453,0.9469,0.9786,0.73066,0.85393,0.55308,0.94805,0.00630037,0.00630037,0.00630037
150,9377.84,0.90871,0.37517,1.00069,0.97447,0.94696,0.97861,0.73079,0.85401,0.55313,0.94805,0.00627537,0.00627537,0.00627537
151,9811.51,0.90779,0.37641,0.99947,0.97441,0.94704,0.97858,0.73103,0.85396,0.55333,0.94801,0.00625038,0.00625038,0.00625038
152,10245.9,0.90754,0.37248,1.00015,0.97413,0.94733,0.97857,0.731,0.85404,0.55432,0.94806,0.00622538,0.00622538,0.00622538
153,10692,0.90247,0.36966,0.99959,0.97455,0.94706,0.97868,0.731,0.854,0.55453,0.94804,0.00620038,0.00620038,0.00620038
154,11135.5,0.90197,0.36999,0.99888,0.97449,0.94714,0.97868,0.73112,0.85394,0.55452,0.94804,0.00617538,0.00617538,0.00617538
155,11569.3,0.90297,0.36946,1.00027,0.97475,0.94691,0.97867,0.73116,0.85382,0.5547,0.94804,0.00615038,0.00615038,0.00615038
156,12003.4,0.89819,0.36607,0.99849,0.97476,0.94681,0.97863,0.73089,0.85369,0.55486,0.94799,0.00612539,0.00612539,0.00612539
157,12446.7,0.90257,0.3685,0.99808,0.97455,0.94691,0.97869,0.73107,0.8537,0.55539,0.94797,0.00610039,0.00610039,0.00610039
158,12880,0.89987,0.36887,0.99795,0.97445,0.94696,0.97872,0.73114,0.85368,0.55558,0.94794,0.00607539,0.00607539,0.00607539
159,13858.3,0.89673,0.36708,0.99575,0.97433,0.94703,0.97869,0.73108,0.85358,0.55558,0.94793,0.0060504,0.0060504,0.0060504
160,14303.1,0.8968,0.36719,0.99645,0.97437,0.94699,0.97871,0.73136,0.85351,0.55546,0.94791,0.0060254,0.0060254,0.0060254
161,14737.7,0.8987,0.36889,0.99526,0.97446,0.94699,0.97875,0.73139,0.85337,0.55503,0.9479,0.0060004,0.0060004,0.0060004
